keycol,delay,Taxi_Rides
1_1_7,1,27
2_1_7,0,16
3_1_7,1,16
5_1_7,3,4
6_1_7,2,35
8_1_7,2,1
1_1_8,2,35
2_1_8,2,11
3_1_8,1,8
5_1_8,1,11
6_1_8,1,19
1_1_9,1,49
2_1_9,2,17
3_1_9,1,14
5_1_9,0,8
6_1_9,1,19
8_1_9,2,1
1_1_10,2,30
2_1_10,1,13
3_1_10,1,17
5_1_10,1,15
6_1_10,0,14
8_1_10,2,2
1_1_11,3,23
2_1_11,2,10
3_1_11,1,32
5_1_11,2,13
6_1_11,2,12
1_1_12,5,35
2_1_12,2,20
3_1_12,3,39
5_1_12,3,24
6_1_12,3,20
8_1_12,1,4
1_1_13,3,31
12_1_13,5,1
13_1_13,2,1
2_1_13,2,21
3_1_13,0,45
5_1_13,2,19
6_1_13,1,21
1_1_14,2,31
11_1_14,1,1
13_1_14,1,1
2_1_14,0,20
3_1_14,1,55
5_1_14,0,9
6_1_14,0,20
8_1_14,3,1
1_1_15,0,19
2_1_15,0,20
3_1_15,0,27
5_1_15,0,12
6_1_15,1,18
1_1_16,0,18
2_1_16,1,16
3_1_16,2,21
5_1_16,0,5
6_1_16,0,14
8_1_16,1,1
1_1_17,0,25
2_1_17,0,19
3_1_17,0,21
5_1_17,0,7
6_1_17,0,23
1_1_18,3,43
2_1_18,2,26
3_1_18,2,39
5_1_18,3,12
6_1_18,2,33
8_1_18,3,2
1_1_19,0,41
11_1_19,2,1
12_1_19,3,1
2_1_19,1,16
3_1_19,1,28
5_1_19,0,11
6_1_19,0,31
8_1_19,2,2
1_1_20,0,44
11_1_20,0,1
12_1_20,2,1
2_1_20,0,23
3_1_20,1,41
5_1_20,1,8
6_1_20,0,17
8_1_20,2,2
1_2_7,0,19
2_2_7,0,13
3_2_7,1,8
5_2_7,0,6
6_2_7,0,31
1_2_8,3,39
2_2_8,0,13
3_2_8,1,9
5_2_8,0,9
6_2_8,0,24
8_2_8,1,2
1_2_9,0,51
2_2_9,1,13
3_2_9,0,23
5_2_9,0,9
6_2_9,0,30
8_2_9,3,1
1_2_10,0,35
2_2_10,2,17
3_2_10,1,32
5_2_10,1,11
6_2_10,0,19
1_2_11,0,25
2_2_11,0,13
3_2_11,1,34
5_2_11,0,8
6_2_11,1,27
8_2_11,1,1
1_2_12,1,27
10_2_12,1,1
11_2_12,1,1
2_2_12,1,18
3_2_12,1,32
5_2_12,1,10
6_2_12,0,21
1_2_13,0,23
2_2_13,0,16
3_2_13,1,30
5_2_13,2,12
6_2_13,0,20
1_2_14,0,39
15_2_14,1,1
2_2_14,1,19
3_2_14,0,40
5_2_14,0,7
6_2_14,0,17
1_2_15,0,35
2_2_15,0,13
3_2_15,0,20
5_2_15,0,5
6_2_15,0,13
1_2_16,0,36
10_2_16,0,1
2_2_16,0,17
3_2_16,1,17
5_2_16,0,13
6_2_16,0,8
8_2_16,0,1
1_2_17,0,39
2_2_17,0,20
3_2_17,2,22
5_2_17,1,7
6_2_17,0,26
8_2_17,2,3
1_2_18,0,60
10_2_18,0,1
15_2_18,1,1
2_2_18,0,22
3_2_18,0,34
5_2_18,0,12
6_2_18,0,37
8_2_18,0,3
1_2_19,0,53
2_2_19,0,31
3_2_19,1,31
5_2_19,1,25
6_2_19,0,31
8_2_19,0,5
1_2_20,4,58
10_2_20,2,2
11_2_20,2,2
12_2_20,2,1
2_2_20,2,22
3_2_20,2,45
5_2_20,3,14
6_2_20,3,28
8_2_20,2,4
1_3_7,0,34
2_3_7,0,12
3_3_7,0,13
5_3_7,0,10
6_3_7,0,26
8_3_7,1,2
1_3_8,0,18
2_3_8,0,8
3_3_8,0,13
5_3_8,0,13
6_3_8,0,15
8_3_8,0,3
1_3_9,0,48
2_3_9,0,10
3_3_9,0,22
5_3_9,1,10
6_3_9,0,7
8_3_9,2,2
1_3_10,1,31
12_3_10,1,1
2_3_10,2,14
3_3_10,3,22
5_3_10,1,5
6_3_10,1,24
8_3_10,2,1
1_3_11,0,42
10_3_11,0,1
11_3_11,3,3
15_3_11,1,1
2_3_11,0,16
3_3_11,0,31
5_3_11,0,7
6_3_11,0,43
8_3_11,1,1
1_3_12,1,25
12_3_12,0,1
