,id,control,delay,ks p-values,t-test p-values,significant,name
0,113,2.85,3.76223776224,0.0194278868244,1.96418836511e-05,1,157 St
1,115,3.57676348548,4.40972222222,0.00283792655721,0.000353037728888,1,137 St - City College
2,118,19.8816326531,18.7528735632,0.0326282194314,0.0248185096011,1,Cathedral Pkwy
3,129,37.8045977011,36.0569620253,0.0651762285394,0.0362135213182,1,28 St
4,130,35.1776859504,38.2033898305,3.70839507937e-05,0.000104810673459,1,23 St
5,132,23.1333333333,25.4429530201,0.00155303369254,0.00145770496553,1,14 St
6,133,17.3958333333,22.1284916201,1.55243028725e-08,1.06513120642e-08,1,Christopher St - Sheridan Sq
7,138,1.25,1.53020134228,0.881442078088,0.00929168107005,1,Cortlandt St
8,221,1.0,1.09803921569,0.992330131752,0.00128038788709,1,3 Av - 149 St
9,225,3.13257575758,3.98230088496,5.06137370507e-05,1.96883080366e-06,1,125 St
10,230,12.6748466258,13.6559139785,0.0337677806898,0.0353020138106,1,Wall St
11,231,1.63309352518,1.85714285714,0.00871841156351,0.0356047483436,1,Clark St
12,232,1.73888888889,2.10606060606,0.78599092174,0.0323818518566,1,Borough Hall
13,234,2.10822510823,2.56,0.0147517965762,0.00109277105782,1,Nevins St
14,235,3.21487603306,4.61165048544,0.000380551386626,1.58878598696e-06,1,Atlantic Av - Barclays Ctr
15,236,1.67105263158,1.93333333333,0.052207430531,0.0111085893596,1,Bergen St
16,237,1.35526315789,1.875,7.30515056377e-05,3.47813214768e-06,1,Grand Army Plaza
17,239,1.06382978723,1.4,0.0738580475697,0.00778992094001,1,Franklin Av
18,248,1.0,1.13043478261,0.935027602609,0.0126271433284,1,Nostrand Av
19,249,1.0,1.05714285714,0.999999999971,0.0446760662684,1,Kingston Av
20,301,1.08823529412,1.0,0.997620460429,0.0131906823084,1,Harlem - 148 St
21,410,1.0,1.4,0.982067225069,0.0165455013179,1,176 St
22,418,13.6920634921,17.6041666667,1.55957436688e-05,1.15251546849e-05,1,Fulton St
23,419,8.37542662116,9.5,0.0822563977367,0.00659204125554,1,Wall St
24,618,1.0,1.18181818182,0.993472918289,0.0424631889116,1,Brook Av
25,622,3.67158671587,4.81060606061,1.50766969868e-10,2.54389031577e-09,1,116 St
26,623,3.2625,3.69230769231,0.0125359259735,0.00840797782253,1,110 St
27,625,19.3547169811,18.3725490196,0.0492933423361,0.0448303783451,1,96 St
28,626,74.9275862069,62.6434108527,2.77285641624e-14,8.19677056342e-19,1,86 St
29,627,35.6335616438,29.031496063,5.66506520811e-14,1.11795630375e-15,1,77 St
30,628,27.0342465753,22.253968254,1.88905245483e-14,1.56521109677e-08,1,68 St - Hunter College
31,630,50.3509933775,55.4957264957,0.00101186053373,0.00892746857123,1,51 St
32,631,58.8343195266,54.4567901235,0.0599457063906,0.00695582128902,1,Grand Central - 42 St
33,632,47.9011406844,36.4358974359,1.08599297435e-20,8.87567557182e-20,1,33 St
34,633,49.9612403101,46.025,3.59057081913e-12,0.0108013777371,1,28 St
35,634,48.6488549618,42.7324840764,1.00951724169e-10,3.43076191694e-06,1,23 St
36,638,26.7729083665,31.3511904762,6.75393324028e-13,1.02761326828e-07,1,Spring St
37,640,6.50303030303,9.08641975309,8.16437310727e-10,9.83372118193e-15,1,Brooklyn Bridge - City Hall
